Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),,
898,149e,149,2,No,A triangle has angles 45° and 95°. Its third angle is vertically opposite y. Find y.,40°,140°,50°,"The third triangle angle is 180-45-95=40°. Since y is vertically opposite it, y=40°.","Find the missing triangle angle first, then apply the vertically opposite angle rule.",,,,,,,
899,150a,150,3,No,"An isosceles triangle has a base angle of 3x. If the apex angle is 48°, find x.",22,132,16,"2(3x)+48=180, so 6x=132, giving x=22.","Double the base angle expression, add the apex angle, then solve.",,,,,,,
900,150a,150,1,No,An isosceles triangle has an apex angle of 40°. Find each base angle.,70°,140°,80°,Base angles share the remaining 140° equally: (180-40)÷2=70°.,"Subtract the apex angle from 180°, then halve what's left.",,,,,,,
901,150a,150,2,No,An isosceles triangle has an apex angle of 96°. Find each base angle.,42°,84°,138°,Base angles share the remaining 84° equally: (180-96)÷2=42°.,"Subtract the apex angle from 180°, then halve what's left.",,,,,,,
902,150a,150,1,No,An isosceles triangle has a base angle of 50°. Find the apex angle.,80°,65°,130°,Base angles are equal: 50+50=100°. Apex angle=180-100=80°.,"Double the base angle, then subtract from 180°.",,,,,,,
903,150a,150,2,No,An isosceles triangle has a base angle of 35°. Find the apex angle.,110°,145°,70°,Base angles are equal: 35+35=70°. Apex angle=180-70=110°.,"Double the base angle, then subtract from 180°.",,,,,,,
904,150c,150,3,No,"An isosceles triangle has base angle 48°. Its apex angle, 95° and w meet at a point. Find w.",181°,179°,84°,"Apex angle=180-48-48=84°. Angles around a point sum to 360°: 84+95+w=360, so w=181°.","Find the apex angle first, then use the fact that angles around a point sum to 360°.",,,,,,,
905,150c,150,2,No,An isosceles triangle has apex angle 100°. One base angle is vertically opposite z. Find z.,40°,140°,80°,"Base angle=(180-100)÷2=40°. Since z is vertically opposite the base angle, z=40°.","Find the base angle first, then apply the vertically opposite angle rule.",,,,,,,
906,150c,150,2,No,An isosceles triangle has apex angle 70°. A base angle and adjacent y lie on a straight line. Find y.,125°,55°,110°,Base angle=(180-70)÷2=55°. y=180-55=125° (straight line).,"Find the base angle first, then use the straight line to find y.",,,,,,,
907,150c,150,1,No,An isosceles triangle has base angle 55°. Its apex angle and adjacent x lie on a straight line. Find x.,110°,70°,125°,Apex angle=180-55-55=70°. x=180-70=110° (straight line).,"Find the apex angle first, then use the straight line to find x.",,,,,,,
908,150c,150,1,No,An isosceles triangle has base angle 40°. Its apex angle and adjacent x lie on a straight line. Find x.,80°,100°,140°,Apex angle=180-40-40=100°. x=180-100=80° (straight line).,"Find the apex angle first, then use the straight line to find x.",,,,,,,
909,151a,151,3,No,"A quadrilateral has angles 2x, 3x, 4x, and 90°. Find x.",30,40,270,"2x+3x+4x+90=360, so 9x=270, giving x=30.","Add up all the parts in terms of x plus the known angle, then solve.",,,,,,,
910,151a,151,2,No,"A quadrilateral has angles 60°, 120°, 130°, and x. Find x.",50°,310°,70°,Angles in a quadrilateral sum to 360°: 360-60-120-130=50°.,Angles in a quadrilateral always add up to 360°.,,,,,,,
911,151a,151,1,No,"A quadrilateral has angles 80°, 95°, 100°, and x. Find x.",85°,275°,95°,Angles in a quadrilateral sum to 360°: 360-80-95-100=85°.,Angles in a quadrilateral always add up to 360°.,,,,,,,
912,151a,151,1,No,"A quadrilateral has angles 70°, 110°, 85°, and x. Find x.",95°,265°,85°,Angles in a quadrilateral sum to 360°: 360-70-110-85=95°.,Angles in a quadrilateral always add up to 360°.,,,,,,,
913,151b,151,2,No,"A quadrilateral has angles 75°, 95°, 110° and x. One side is extended beyond the fourth vertex. Find the exterior angle.",100°,80°,260°,x=360-75-95-110=80°. Exterior angle=180-80=100°.,"Find the missing interior angle first, then subtract it from 180°.",,,,,,,
914,151b,151,1,No,"A quadrilateral has interior angles 90°, 100°, 85°, and x at the fourth vertex. Find x.",85°,275°,95°,Angles in a quadrilateral sum to 360°: 360-90-100-85=85°.,Angles in a quadrilateral always add up to 360°.,,,,,,,
915,151c,151,3,No,"A kite has angles x°, x°, 80° and 150°. Find x.",65,130,260,"2x+80+150=360, so 2x=130, giving x=65.","Add the two known angles, subtract from 360°, then halve what's left.",,,,,,,
916,151c,151,1,No,"A kite has angles 100°, 100°, 95° and x°. Find x.",65°,165°,80°,Angles in a quadrilateral sum to 360°: 360-100-100-95=65°.,Subtract all the known angles from 360°.,,,,,,,
917,151c,151,2,No,"A kite has angles 115°, 115°, 60° and x°. Find x.",70°,170°,55°,Angles in a quadrilateral sum to 360°: 360-115-115-60=70°.,Subtract all the known angles from 360°.,,,,,,,
918,151d,151,3,No,A quadrilateral has one 90° angle; the other three are in ratio 2:3:4. Find the largest angle.,120°,60°,90°,The remaining angles sum to 270°. Split into 2+3+4=9 parts: 270÷9=30° per part. Largest=4x30=120°.,"Subtract the known angle from 360°, then split the rest according to the ratio.",,,,,,,
919,151d,151,1,No,"A quadrilateral has angles 70°, 110°, and two other equal angles x. Find x.",90°,180°,60°,"70+110+2x=360, so 2x=180, giving x=90°.","Add the two known angles, subtract from 360°, then halve what's left.",,,,,,,
920,151d,151,2,No,"A quadrilateral has angles 60°, 90°, and two other equal angles y. Find y.",105°,210°,75°,"60+90+2y=360, so 2y=210, giving y=105°.","Add the two known angles, subtract from 360°, then halve what's left.",,,,,,,
921,151d,151,2,No,A quadrilateral has three equal angles of x each and a fourth angle of 90°. Find x.,90°,270°,30°,"3x+90=360, so 3x=270, giving x=90°.","Subtract the known angle from 360°, then divide by 3.",,,,,,,
922,152d,152,1,No,"A=(3,5). B is directly below A, on the x-axis. Find B.","(3,0)","(0,5)","(3,5)",B shares A's x-coordinate but has y=0 on the x-axis.,Keep the x-coordinate the same; the y-coordinate becomes 0.,,,,,,,
923,152d,152,2,No,"A=(-4,2). B is directly right of A, on the y-axis. Find B.","(0,2)","(-4,0)","(0,-4)",B shares A's y-coordinate but has x=0 on the y-axis.,Keep the y-coordinate the same; the x-coordinate becomes 0.,,,,,,,
924,152e,152,1,No,"A=(2,-3), B=(2,5). Find the distance AB.",8,2,5,"Same x-coordinate, so subtract y-values: 5-(-3)=8.",Same x-coordinate means the distance is just the difference in y.,,,,,,,
925,152e,152,2,No,"A=(-6,4), B=(-6,-9). Find the distance AB.",13,5,-13,"Same x-coordinate, so subtract y-values: 4-(-9)=13.",Same x-coordinate means the distance is just the difference in y.,,,,,,,
926,152e,152,3,No,"A=(-7,-3), B=(-7,-15). Find the distance AB.",12,8,-12,"Same x-coordinate, so subtract y-values: -3-(-15)=12.",Same x-coordinate means the distance is just the difference in y.,,,,,,,
927,152f,152,1,No,"A=(1,4), B=(9,4). Find the horizontal distance AB.",8,4,9,"Same y-coordinate, so subtract x-values: 9-1=8.",Same y-coordinate means the distance is just the difference in x.,,,,,,,
928,152f,152,2,No,"A=(-3,2), B=(6,2). Find the horizontal distance AB.",9,3,6,"Same y-coordinate, so subtract x-values: 6-(-3)=9.",Same y-coordinate means the distance is just the difference in x.,,,,,,,
929,152f,152,3,No,"A=(-9,2), B=(6,2). Find the horizontal distance AB.",15,11,3,"Same y-coordinate, so subtract x-values: 6-(-9)=15.",Same y-coordinate means the distance is just the difference in x.,,,,,,,
930,152g,152,1,No,"Rectangle vertices: (1,2), (5,2), (5,6). Find the 4th vertex.","(1,6)","(1,2)","(5,6)","The 4th vertex shares x with (1,2) and y with (5,6).",Match the x-coordinate from one vertex and the y-coordinate from another.,,,,,,,
931,152g,152,2,No,"Rectangle vertices: (-2,1), (3,1), (3,-4). Find the 4th vertex.","(-2,-4)","(-2,1)","(3,-4)","The 4th vertex shares x with (-2,1) and y with (3,-4).",Match the x-coordinate from one vertex and the y-coordinate from another.,,,,,,,
932,152h,152,3,No,"Parallelogram ABCD: A(0,0), B(4,0), C(5,3). Find D.","(1,3)","(9,3)","(1,-3)","D=C-(B-A)=(5-4,3-0)=(1,3).",Vector AB must equal vector DC.,,,,,,,
933,152h,152,3,No,"Parallelogram ABCD: A(-3,-2), B(2,-2), C(4,1). Find D.","(-1,1)","(9,1)","(-1,-1)","D=C-(B-A)=(4-5,1-0)=(-1,1).",Vector AB must equal vector DC.,,,,,,,
934,153a,153,1,No,"Reflect (3,5) in the x-axis.","(3,-5)","(-3,5)","(-3,-5)",Reflecting in the x-axis flips the sign of the y-coordinate.,Only the y-coordinate changes sign.,,,,,,,
935,153a,153,1,No,"Reflect (-2,4) in the y-axis.","(2,4)","(-2,-4)","(2,-4)",Reflecting in the y-axis flips the sign of the x-coordinate.,Only the x-coordinate changes sign.,,,,,,,
936,153a,153,2,No,"Reflect (-6,-3) in the x-axis.","(-6,3)","(6,-3)","(6,3)",Reflecting in the x-axis flips the sign of the y-coordinate.,Only the y-coordinate changes sign.,,,,,,,
937,153a,153,2,No,"Reflect (7,-1) in the y-axis.","(-7,-1)","(7,1)","(-7,1)",Reflecting in the y-axis flips the sign of the x-coordinate.,Only the x-coordinate changes sign.,,,,,,,
938,153a,153,3,No,"Reflect (-8,5) in the x-axis, then the result in the y-axis.","(8,-5)","(-8,-5)","(8,5)","x-axis: (-8,-5). Then y-axis: (8,-5).","Apply each reflection one at a time, using the result of the first as the input to the second.",,,,,,,
939,153b,153,1,No,"Reflect (3,2) in the line x=5.","(7,2)","(3,7)","(8,2)","3 is 2 left of the line, so the image is 2 right of it: 5+2=7.","Find the distance from the point to the line, then go the same distance on the other side.",,,,,,,
940,153b,153,2,No,"Reflect (1,4) in the line y=1.","(1,-2)","(4,1)","(1,6)","4 is 3 above the line, so the image is 3 below it: 1-3=-2.","Find the distance from the point to the line, then go the same distance on the other side.",,,,,,,
941,153b,153,2,No,"Reflect (-2,6) in the line x=1.","(4,6)","(-2,-4)","(0,6)","-2 is 3 left of the line, so the image is 3 right of it: 1+3=4.","Find the distance from the point to the line, then go the same distance on the other side.",,,,,,,
942,153b,153,3,No,"Reflect (5,-3) in the line y=-1.","(5,1)","(5,-5)","(5,-1)","-3 is 2 below the line, so the image is 2 above it: -1+2=1.","Find the distance from the point to the line, then go the same distance on the other side.",,,,,,,
943,153b,153,3,No,"Reflect (-4,-7) in the line x=-1.","(2,-7)","(-4,2)","(-6,-7)","-4 is 3 left of the line, so the image is 3 right of it: -1+3=2.","Find the distance from the point to the line, then go the same distance on the other side.",,,,,,,
944,153c,153,1,No,"Reflect (3,7) in the line y=x.","(7,3)","(-3,-7)","(-7,-3)",Reflecting in y=x swaps the coordinates.,Swap the x and y values.,,,,,,,
945,153c,153,2,No,"Reflect (4,-6) in the line y=-x.","(6,-4)","(-4,6)","(-6,4)",Reflecting in y=-x swaps the coordinates and flips both signs.,"Swap the coordinates, then change both signs.",,,,,,,
946,153c,153,3,No,"Reflect (-3,-8) in the line y=x.","(-8,-3)","(3,8)","(8,3)",Reflecting in y=x swaps the coordinates.,Swap the x and y values.,,,,,,,
947,153c,153,3,No,"Reflect (5,-2) in the line y=-x.","(2,-5)","(-2,5)","(-5,2)",Reflecting in y=-x swaps the coordinates and flips both signs.,"Swap the coordinates, then change both signs.",,,,,,,
948,154a,154,1,No,"Translate (2,3) by 4 right and 1 up.","(6,4)","(6,2)","(-2,4)","Add 4 to x and 1 to y: (2+4,3+1).","Right/left changes x, up/down changes y.",,,,,,,
949,154a,154,1,No,"Translate (-1,5) by 3 left and 2 down.","(-4,3)","(-4,7)","(2,3)","Subtract 3 from x and 2 from y: (-1-3,5-2).","Right/left changes x, up/down changes y.",,,,,,,
950,154a,154,2,No,"Translate (-6,-2) by 5 right and 4 up.","(-1,2)","(-1,-6)","(-11,2)","Add 5 to x and 4 to y: (-6+5,-2+4).","Right/left changes x, up/down changes y.",,,,,,,
951,154a,154,2,No,"Translate (7,-4) by 6 left and 3 down.","(1,-7)","(1,-1)","(13,-7)","Subtract 6 from x and 3 from y: (7-6,-4-3).","Right/left changes x, up/down changes y.",,,,,,,
952,154a,154,3,No,"Translate (-8,6) by 9 right and 11 down.","(1,-5)","(1,17)","(-17,-5)","Add 9 to x and subtract 11 from y: (-8+9,6-11).","Right/left changes x, up/down changes y.",,,,,,,
953,154a,154,3,No,"Translate (3,-9) by 7 left and 8 up.","(-4,-1)","(-4,-17)","(10,-1)","Subtract 7 from x and add 8 to y: (3-7,-9+8).","Right/left changes x, up/down changes y.",,,,,,,
954,154b,154,1,No,"A point moves from (1,2) to (5,4). Describe the translation.","4 right, 2 up","4 right, 2 down","2 right, 4 up",Change in x: 5-1=4. Change in y: 4-2=2.,Subtract the starting coordinates from the finishing coordinates.,,,,,,,
955,154b,154,1,No,"A point moves from (6,3) to (2,7). Describe the translation.","4 left, 4 up","4 right, 4 up","4 left, 4 down",Change in x: 2-6=-4. Change in y: 7-3=4.,Subtract the starting coordinates from the finishing coordinates.,,,,,,,
956,154b,154,2,No,"A point moves from (-3,-5) to (2,-1). Describe the translation.","5 right, 4 up","5 left, 4 up","5 right, 4 down",Change in x: 2-(-3)=5. Change in y: -1-(-5)=4.,Subtract the starting coordinates from the finishing coordinates.,,,,,,,
957,154b,154,2,No,"A point moves from (4,-2) to (-3,-6). Describe the translation.","7 left, 4 down","7 right, 4 down","7 left, 4 up",Change in x: -3-4=-7. Change in y: -6-(-2)=-4.,Subtract the starting coordinates from the finishing coordinates.,,,,,,,
958,154b,154,3,No,"A point moves from (-9,7) to (-2,-6). Describe the translation.","7 right, 13 down","7 left, 13 down","7 right, 13 up",Change in x: -2-(-9)=7. Change in y: -6-7=-13.,Subtract the starting coordinates from the finishing coordinates.,,,,,,,
959,154b,154,3,No,"A point moves from (5,-11) to (-6,4). Describe the translation.","11 left, 15 up","11 right, 15 up","11 left, 15 down",Change in x: -6-5=-11. Change in y: 4-(-11)=15.,Subtract the starting coordinates from the finishing coordinates.,,,,,,,
